series,episode,baker,result,signature,signature_ingredients,showstopper,,
4,3,Frances,IN,Apple and Blackberry Crumble Trifle,,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,,
4,3,Glenn,IN,Raspberry and Almond Trifle,,Billionaire BouchéesOrange Financiers,,
4,3,Howard,IN,Caramel and Apple Trifle*,,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,,
4,3,Kimberley,IN,"Peach, Almond and Ginger Trifle",,Chocolate Pistachio FinanciersLemon Bergamot Biscuits,,
4,3,Robert,IN,Rhubarb and Orange Trifle,,Almond FriandsTurón Macarons,,
4,3,Ruby,IN,Desert Island Trifle,,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,,
4,3,Deborah,OUT,Tropical Trifle*,,Canelé Cherry and Chocolate CakesRose Cookies,,
4,3,Mark,OUT,"Ginger, Mango and Passion Fruit Trifle",,Rose and Pistachio MacaronsChocolate and Raspberry Bites,,
4,3,Christine,STAR BAKER,Caribbean Pina Colada Trifle,,Ninety-NinersSachertorte Parcels,,
4,3,Lucy,NA,NA,,NA,,
4,3,Toby,NA,NA,,NA,,
4,4,Beca,IN,Mamgu's Cherry-Apple Tart,,Moroccan Vegetable Filo Feast,,
4,4,Christine,IN,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",,Roasted Vegetable Filo Pie with Feta Cheese,,
4,4,Frances,IN,Peach Pie In the Sky,,Cherry Tree Baklava Filo Pie,,
4,4,Glenn,IN,Apple & Maple Syrup Pie,,Spanakopita,,
4,4,Howard,IN,Apple Pie with Sage Pastry,,Fresh Fig and Feta Filo Flan,,
4,4,Robert,IN,Apple and Pear Pie with Thyme,,Spanakopita with St George's Mushrooms,,
4,4,Ruby,IN,Apple and Marzipan Pie,,"Rose, Almond and Raspberry Filo Pie",,
4,4,Ali,OUT,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,,"Orange, Cardamom and Date M'Hanncha",,
4,4,Kimberley,STAR BAKER,Pecan and Rosemary Caramel Apple Pie,,"Chicken, Bacon and Butternut Squash Pie",,
4,4,Deborah,NA,NA,,NA,,
4,4,Lucy,NA,NA,,NA,,
4,4,Mark,NA,NA,,NA,,
4,4,Toby,NA,NA,,NA,,
4,5,Beca,IN,"Chocolate, Cherry and Hazelnut Brownies",,Tiered Macaron and Sugar Dough Biscuit Centrepiece,,
4,5,Frances,IN,Millionaire Banoffee Bonus,,Biscuit Buttons and Beads,,
4,5,Glenn,IN,Apricot and Pistachio Tiffin,,Shortbread and Macaron Helter-Skelter,,
4,5,Howard,IN,Breakfast Traybake,,Japanese Pagoda Tea Tower,,
4,5,Kimberley,IN,Cherry and Almond Bakewell Florentine Slice,,Black and White Viennese Biscuit Stack,,
4,5,Ruby,IN,Blackberry and Lemon Bakewell Slice,,'Dropped Ice-Cream' Biscuit Centrepiece,,
4,5,Robert,OUT,Blueberry & Orange Traybake,,Dalek,,
4,5,Christine,STAR BAKER,Mixed Berry and Almond Crumble Traybake,,Shortbread Bavarian Clock Tower,,
4,5,Ali,NA,NA,,NA,,
4,5,Deborah,NA,NA,,NA,,
4,5,Lucy,NA,NA,,NA,,
4,5,Mark,NA,NA,,NA,,
4,5,Toby,NA,NA,,NA,,
4,6,Beca,IN,Bara Brith,,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,,
4,6,Christine,IN,Oxford Nutty Fruit Loaf,,Schnecken BunsVanilla Custard Skolebrød,,
4,6,Frances,IN,Chai Tea Loaf,,Hot Cross BriochesRhubarb and Custard Kolaches,,
4,6,Glenn,IN,Devonshire Panettone,,Almond and Apricot BriochesSticky Caramel Kanelbullen,,
4,6,Kimberley,IN,Chai Spiced Ginger and Date Tea Loaf,,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer,,
4,6,Howard,OUT,Date & Hemp Yorkshire Loaf,,Peachy BunsGerman Baumschnecken,,
4,6,Ruby,STAR BAKER,Citrus Tea Loaf,,Twisted Swedish KanelbullarSaffron St. Lucia Buns,,
4,6,Ali,NA,NA,,NA,,
4,6,Deborah,NA,NA,,NA,,
4,6,Lucy,NA,NA,,NA,,
4,6,Mark,NA,NA,,NA,,
4,6,Robert,NA,NA,,NA,,
4,6,Toby,NA,NA,,NA,,
4,7,Beca,IN,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,,
4,7,Christine,IN,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,,
4,7,Kimberley,IN,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",,
4,7,Ruby,IN,Plum Jam Roly-Polywith Ginger Ice cream,,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts,,
4,7,Glenn,OUT,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille,,
4,7,Frances,STAR BAKER,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers,,
4,7,Ali,NA,NA,,NA,,
4,7,Deborah,NA,NA,,NA,,
4,7,Howard,NA,NA,,NA,,
4,7,Lucy,NA,NA,,NA,,
4,7,Mark,NA,NA,,NA,,
4,7,Robert,NA,NA,,NA,,
4,7,Toby,NA,NA,,NA,,
4,8,Beca,IN,"Potato, Spelt and Rosemary Focaccia",,Spiced Butternut Squash and Pecan 'Cheese' Cake,,
4,8,Frances,IN,'Chelsea Flour Show' Bun Bouquet,,Hidden Carrot Cake,,
4,8,Kimberley,IN,Wild Garlic Pesto and Parma Ham Spelt Loaf,,Butternut Squash and Spice Cake Toadstool House,,
4,8,Christine,OUT,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",,Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,,
4,8,Ruby,STAR BAKER,Mango and Nigella Seed Spelt Cob,,Carrot Cake and Pistachio Garden Plot,,
4,8,Ali,NA,NA,,NA,,
4,8,Deborah,NA,NA,,NA,,
4,8,Glenn,NA,NA,,NA,,
4,8,Howard,NA,NA,,NA,,
4,8,Lucy,NA,NA,,NA,,
4,8,Mark,NA,NA,,NA,,
4,8,Robert,NA,NA,,NA,,
4,8,Toby,NA,NA,,NA,,
4,9,Frances,IN,"Légume Canapés
(Chantenay Carrots, Choux Pastry Tomatoes, and Cauliflower Cheese Scones)",,Great British Soap Opera Cake,,
4,9,Ruby,IN,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions",,"Chocolate, Almond Praline and Saffron Opera Cake",,
4,9,Beca,OUT,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,,Banoffee Opera Cake,,
4,9,Kimberley,STAR BAKER,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,,Passion Fruit and Lime Opera Cake,,
4,9,Ali,NA,NA,,NA,,
4,9,Christine,NA,NA,,NA,,
4,9,Deborah,NA,NA,,NA,,
4,9,Glenn,NA,NA,,NA,,
4,9,Howard,NA,NA,,NA,,
4,9,Lucy,NA,NA,,NA,,
4,9,Mark,NA,NA,,NA,,
4,9,Robert,NA,NA,,NA,,
4,9,Toby,NA,NA,,NA,,
4,10,Kimberley,Runner-up,Chicken and Pig Pie,,Languages of Love Wedding Cake,,
4,10,Ruby,Runner-up,Picnic Basket Pie,,"Raspberry, Lemon and Passion Fruit Wedding Cake",,
4,10,Frances,WINNER,Rainbow Picnic Pie,,Midsummer Night's Dream Wedding Cake,,
4,10,Ali,NA,NA,,NA,,
4,10,Beca,NA,NA,,NA,,
4,10,Christine,NA,NA,,NA,,
4,10,Deborah,NA,NA,,NA,,
4,10,Glenn,NA,NA,,NA,,
4,10,Howard,NA,NA,,NA,,
4,10,Lucy,NA,NA,,NA,,
4,10,Mark,NA,NA,,NA,,
4,10,Robert,NA,NA,,NA,,
4,10,Toby,NA,NA,,NA,,
5,1,Chetna,IN,"Cardamom, Pistachio and Coffee Swiss Roll",,Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,,
5,1,Diana,IN,Mum's Sunday Tea Lemon Curd Swiss Roll,,Chocolate Ganache Surprises,,
5,1,Enwezor,IN,Raspberry and Lemon Swiss Roll,,Coffee and Walnut Battenberg Squares,,
5,1,Iain,IN,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",,
5,1,Jordan,IN,Kawaii Frasier Swiss Roll,,Lemon Drizzle Cakes with Blueberry and Lemon Curd,,
5,1,Kate,IN,Red Velvet and White Chocolate Swiss Roll,,Mini Tiered Victoria Sponges,,
5,1,Luis,IN,Spanish Swiss Roll,,Raspberry and Lemon Genoise Slices with Lemon Drizzles,,
5,1,Martha,IN,Tiramisu Swiss Roll,,Mini Lemon and Thyme Drizzle Cakes,,
5,1,Norman,IN,Black Forest Swiss Roll,,Almond and Raspberry Mini Cakes,,
5,1,Richard,IN,Pistachio and Strawberry Swiss Roll,,Miniature Coffee and Walnut Cakes,,
5,1,Claire,OUT,Chocolatey Orangey Swirly Roll,,Mini Chocolate and Cherry Cakes,,
5,1,Nancy,STAR BAKER,Coffee and Hazelnut Swiss Roll,,Jaffa Orange Cakes,,
5,2,Chetna,IN,Fenugreek and Carom Crackers,,Day On The Beach,,
5,2,Diana,IN,Parmesan Triangles,,"Express, First Class",,
5,2,Iain,IN,Za'atar and Fig Biscuits,,Wild West Scene,,
5,2,Jordan,IN,"Sourdough, Parmesan and Chilli Biscuits",,Monster Attack,,
5,2,Kate,IN,Parmesan and Apple Biscuits,,Tea Time,,
5,2,Luis,IN,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,,George Versus The Dragon,,
5,2,Martha,IN,Caramelised Onion and Goat's Cheese Sandwich Biscuits,,Ski Village Scene,,
5,2,Nancy,IN,Fennel and Rye Thins,,Hansel and Gretel Scene,,
5,2,Norman,IN,Farthing Biscuits,,Zulu Boats at Dawn,,
5,2,Enwezor,OUT,Pumpkin and Sunflower Savoury Biscuits,,Space Adventure Moon Scene,,
5,2,Richard,STAR BAKER,Rosemary Seeded Crackers,,Pirates!,,
5,2,Claire,NA,NA,,NA,,
5,3,Chetna,IN,Onion and Pine Nut Rolls,,Rolled and Filled Twin Loaf,,
5,3,Diana,IN,Rustic Picnic Rolls,,Sharing Savoury Pinwheel,,
5,3,Iain,IN,Cranberry and Walnut Rye Bread Rolls,,Moroccan Plaited with a Bessara Dip,,
5,3,Kate,IN,Orange and Cardamom Rye Bread Knots,,"Prosciutto, Olive & Coriander Bread",,
5,3,Martha,IN,Date and Walnut Rye Rolls,,Stuffed Sunflower Loaf,,
5,3,Nancy,IN,Cider and Walnut Crusty Rolls,,'Full English' Stromboli,,
5,3,Norman,IN,Rye Bread Rolls,,Chicken and Roasted Vegetable Picnic Loaf,,
5,3,Richard,IN,Rye and Cranberry Rolls,,Pesto Pinwheel,,
5,3,Jordan,OUT,Rye and Spelt Bread Rolls,,Strawberry Raspberry Cheesecake Brioche,,
5,3,Luis,STAR BAKER,Opposites Attract Rolls,,Roscón de Reyes,,
5,3,Claire,NA,NA,,NA,,
5,3,Enwezor,NA,NA,,NA,,
5,4,Chetna,IN,"Rhubarb, Strawberry and Orange Puddings",,"Mango, Raspberry and Coconut Baked Alaska",,
5,4,Diana,IN,Orange and Lemon Curd Pots,,Raspberry Ripple Alaska Swan,,
5,4,Kate,IN,Chocolate and Salted Caramel Molten Puddings,,"Pistachio, Raspberry and Chocolate Baked Alaska",,
5,4,Luis,IN,Pears in Puddings,,Bakewell Alaska,,
5,4,Martha,IN,Peanut Butter Chocolate Fondants,,Key Lime Baked Alaska,,
5,4,Nancy,IN,Pistachio Puddings with Chocolate Sauce,,Summer Pudding Alaska,,
5,4,Norman,IN,Mini Sticky Toffee Puddings,,Baked Alaska with Strawberry Surprise,,
5,4,Iain,OUT,"Chocolate, Lime and Raspberry Fondants",,"Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",,
5,4,Richard,STAR BAKER,Black Forest Chocolate Fondants,,Tiramisu Baked Alaska,,
5,4,Claire,NA,NA,,NA,,
5,4,Enwezor,NA,NA,,NA,,
5,4,Jordan,NA,NA,,NA,,
5,5,Chetna,IN,Rice Custard Tart with Mangoes and Raspberries,,Fusion Tiered Pies,,
5,5,Luis,IN,Tropical Manchester Tart,,Four Fruity Seasons Tower,,
5,5,Martha,IN,"Pistachio, Apricot and Honey Custard Tart",,Three Little Pigs Pie,,
5,5,Nancy,IN,Chocolate Crusted Passion Fruit Tart,,Trio of Apple Pies,,
5,5,Richard,IN,Fig and Orange Tart,,Three Course Autumn Pie Feast,,
5,5,Norman,OUT,Tarte au Citron,,Pieful Tower,,
5,5,Kate,STAR BAKER,Rhubarb and Custard Tart,,"Rhubarb, Prune and Apple Pies",,
5,5,Diana,WD,NA,,NA,,
5,5,Claire,NA,NA,,NA,,
5,5,Enwezor,NA,NA,,NA,,
5,5,Iain,NA,NA,,NA,,
5,5,Jordan,NA,NA,,NA,,
5,6,Diana,IN,NA,,NA,,
5,6,Kate,IN,"Pecan, Chocolate and Sour Cherry Yeast Cake",,Trio of Dobos Tortes,,
5,6,Luis,IN,Apple and Cinnamon Kugelhopf with Honeyed Apples,,The Cage on the Rocky Hill,,
5,6,Martha,IN,Dark Chocolate and Almond Liqueur Savarin,,Chess-Themed Chocolate and Salted Caramel Dobos Torte,,
5,6,Nancy,IN,Rum Punch Savarin with Coconut Cream and Tropical Fruits,,Chocolate and Caramel Dobos Torte,,
5,6,Richard,IN,Fruity Guglhupf with an Orange Glaze,,Sugar Forest Dobos Torte,,
5,6,Chetna,STAR BAKER,Orange Savarin with Cinnamon Cream,,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,,
5,6,Claire,NA,NA,,NA,,
5,6,Enwezor,NA,NA,,NA,,
5,6,Iain,NA,NA,,NA,,
5,6,Jordan,NA,NA,,NA,,
5,6,Norman,NA,NA,,NA,,
5,7,Chetna,IN,Crispy Lentil Kachori,,Chocolate & Mango and Lemon Meringue Éclairs,,
5,7,Diana,IN,NA,,NA,,
5,7,Luis,IN,Childhood Empanadas,,Stars and Stripes Éclairs,,
5,7,Martha,IN,Mini Beef Wellingtons,,Rhubarb & Custard and Maple Syrup & Bacon Éclairs,,
5,7,Nancy,IN,Spicy Duck Pasties,,Smoked Salmon & Horseradish and Raspberry Ripple Éclairs,,
5,7,Kate,OUT,Spinach and Paneer Spicy Samosa,,Neapolitan and Lemon Meringue Éclairs,,
5,7,Richard,STAR BAKER,Minted Lamb Pasties,,Stair of Éclairs: Blueberry & Lavender and Raspberry & Rose,,
5,7,Claire,NA,NA,,NA,,
5,7,Enwezor,NA,NA,,NA,,
5,7,Iain,NA,NA,,NA,,
5,7,Jordan,NA,NA,,NA,,
5,7,Norman,NA,NA,,NA,,
5,8,Chetna,IN,Date and Walnut Swirl Bread,,Chocolate Mousse Filled DoughnutsBraided Doughnuts,,
5,8,Diana,IN,NA,,NA,,
5,8,Luis,IN,Black Forest Cherry Tree,,Cocktail Doughnuts,,
5,8,Nancy,IN,Lincolnshire Plum Braid,,Doughnut Family Tree,,
5,8,Martha,OUT,Spiced Plum Iced Bread Swirl,,Glazed Lemon & Poppyseed DoughnutsChocolate & Passion Fruit Doughnuts,,
5,8,Richard,STAR BAKER,Fruit Swedish Tea Ring,,Rhubarb and CustardToffee Apple Doughnuts,,
5,8,Claire,NA,NA,,NA,,
5,8,Enwezor,NA,NA,,NA,,
5,8,Iain,NA,NA,,NA,,
5,8,Jordan,NA,NA,,NA,,
5,8,Kate,NA,NA,,NA,,
5,8,Norman,NA,NA,,NA,,
5,9,Diana,IN,NA,,NA,,
5,9,Luis,IN,Indian Rose BaklavaHalwa Baklava Rolls,,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",,
5,9,Nancy,IN,Coffee and Chocolate BaklavaBreakfast Baklava,,Raspberry NonnettesLime and Passion Fruit Entremets,,
5,9,Chetna,OUT,Chocolate Orange Baklava Masala Chai Baklava,,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",,
5,9,Richard,STAR BAKER,Rose and Pistachio BaklavaWalnut and Almond Baklava,,Hazelnut Mocha EntremetsPink Grapefruit Entremets,,
5,9,Claire,NA,NA,,NA,,
5,9,Enwezor,NA,NA,,NA,,
5,9,Iain,NA,NA,,NA,,
5,9,Jordan,NA,NA,,NA,,
5,9,Kate,NA,NA,,NA,,
5,9,Martha,NA,NA,,NA,,
5,9,Norman,NA,NA,,NA,,
5,10,Diana,IN,NA,,NA,,
5,10,Luis,Runner-up,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",,Village in Chocolate,,
5,10,Richard,Runner-up,Pear Pain au ChocolatPain Au Lait,,Mill on the Hill,,
5,10,Nancy,WINNER,Apple and Lemon KitesRaspberry and Almond Croissants,,Red Windmill,,
5,10,Chetna,NA,NA,,NA,,
5,10,Claire,NA,NA,,NA,,
5,10,Enwezor,NA,NA,,NA,,
5,10,Iain,NA,NA,,NA,,
5,10,Jordan,NA,NA,,NA,,
5,10,Kate,NA,NA,,NA,,
5,10,Martha,NA,NA,,NA,,
5,10,Norman,NA,NA,,NA,,
6,1,Alvin,IN,Orange Vanilla and Fig Madeira Cake,,Black Forest Gâteau,,
6,1,Dorret,IN,Madeira Cake with Candied Lemons,,Enchanted Forest Gâteau,,
6,1,Flora,IN,Blood Orange Madeira Cake,,Black Forest Gâteau,,
6,1,Ian,IN,Somewhere West of Madeira Cake,,Black Forest Cherry Tree,,
6,1,Mat,IN,Gin and Tonic Madeira Cake,,Black Forest Gateau,,
6,1,Nadiya,IN,Orange and Green Cardamom Madeira Cake,,Quadruple Chocolate Black Forest Gâteau,,
6,1,Paul,IN,"Lemon, Ginger and Caraway Seed Madeira Cake",,Black Forest Chocolate Creation,,
6,1,Sandy,IN,Madeira Cake with Almond Liqueur and Chopped Apricots,,Black Forest Gâteau,,
6,1,Tamal,IN,Pistachio and Rose Madeira Cake,,Black Forest Gâteau in a Chocolate Shell,,
6,1,Ugnė,IN,Lemon and Thyme Madeira Cake,,Falling Cup Gâteau,,
6,1,Stu,OUT,Marley Madeira Cake,,Purple Forest Gâteau,,
6,1,Marie,STAR BAKER,Zingy Citrus Madeira Cake,,A Walk in the Black Forest,,
6,2,Alvin,IN,"Jackfruit, Pistachio and Macadamia Biscotti",,Gingerbread Box filled with Brandy Snaps,,
6,2,Dorret,IN,Almond and Apricot Biscotti with Amber Sugar Crystals,,Box of Frogs,,
6,2,Flora,IN,Wedding Biscotti,,Honey and Earl Grey Tea Box,,
6,2,Mat,IN,"Pistachio, Cranberry and White Chocolate Biscotti",,Gingerbread Fire Engine,,
6,2,Nadiya,IN,"Coconut, Fennel and Pistachio Biscotti",,Box of Fortunes,,
6,2,Paul,IN,"Chocolate, Hazelnut and Fig Biscotti",,Memory Box,,
6,2,Sandy,IN,Chocolate Chunk and Hazelnut Biscotti,,Sundried Tomato Cheese Biscuit Box,,
6,2,Tamal,IN,"Cinnamon, Maple and Cranberry Biscotti",,Chessboard Box,,
6,2,Ugnė,IN,White Wine Biscotti,,Baby Climbing into the Cookie Box,,
6,2,Marie,OUT,Biscotti Italiano,,Russian Box,,
6,2,Ian,STAR BAKER,"Orange, Rosemary and Almond Biscotti",,Sandwich de la Confiture,,
6,2,Stu,NA,NA,,NA,,
6,3,Alvin,IN,"Prosciutto, Manchego and Balsamic Onion Soda Breads",,Cornucopia,,
6,3,Flora,IN,Fig and Hazelnut Rye Breads,,Herb Couture,,
6,3,Mat,IN,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",,Curry Inspired Brighton Pavilion,,
6,3,Nadiya,IN,Mexican Bread with Warm Tomato Salsa,,Snake Charmer's Basket,,
6,3,Paul,IN,Cranberry and Orange Sweet Soda Breads,,King of the Jungle*,,
6,3,Sandy,IN,Soda Breads with Smoked Bacon and Onion,,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,,
6,3,Tamal,IN,"Fig, Cheese and Walnut Breads",,Breadcycle,,
6,3,Ugnė,IN,Chocolate Quick Breads with Salted Caramel Sauce,,Easter Basket,,
6,3,Dorret,OUT,Walnut and Stilton Soda Breads,,Unmade Bread,,
6,3,Ian,STAR BAKER,Wild Garlic Pesto Soda Breads,,Flour Power,,
6,3,Marie,NA,NA,,NA,,
6,3,Stu,NA,NA,,NA,,
6,4,Alvin,IN,Blackberry Crème Brûlées,,Tower of Fruits Cheesecakes,,
6,4,Flora,IN,Rhubarb and Ginger Crème Brûlées,,Elderflower and Granola Cheesecakes,,
6,4,Mat,IN,Coconut Crème Brûlées,,Chocolate Bar Cheesecakes,,
6,4,Nadiya,IN,Cinnamon Tea Crème Brûlées,,Fizzy Pop Cheesecakes,,
6,4,Paul,IN,Almond Crème Brûlées,,Berry Cheesecake Tower,,
6,4,Tamal,IN,Rhubarb and Ginger Crème Brûlées,,"Mango, Hazelnut and Rosemary Cheesecake Trio",,
6,4,Ugnė,IN,Marula Fruit and Coffee Liqueur Crème Brûlées,,"Lime, Coconut and Hazelnut Cheesecakes",,
6,4,Sandy,OUT,Pontefract Crème Brûlées,,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",,
6,4,Ian,STAR BAKER,Pomegranate Two Ways Crème Brûlées,,Trio of Spicy and Herby Baked Cheesecakes,,
6,4,Dorret,NA,NA,,NA,,
6,4,Marie,NA,NA,,NA,,
6,4,Stu,NA,NA,,NA,,
6,5,Alvin,IN,Pineapple Upside Down Cake,,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",,
6,5,Flora,IN,"Pistachio, Apple and Cardamom Madeleine Cake",,Chocolate and Pear Bûche,,
6,5,Ian,IN,Honey and Flowers Cake,,Dessert Island,,
6,5,Mat,IN,Sugar Free Carrot Cake,,Raspberry & Coconut Ice Cream Roll,,
6,5,Paul,IN,Carrot & Pecan Cake,,Dessert Island Getaway,,
6,5,Tamal,IN,Honey and Grapefruit Polenta Cake,,Passion Fruit and Pineapple Ice Cream Roll,,
6,5,Ugnė,OUT,Chocolate and Hazelnut Sugar-Free Cake,,"Chocolate, Peanut Butter and Grape Jam Roll",,
6,5,Nadiya,STAR BAKER,Naked Blueberry and Caraway Crunch Cake,,Chocolate and Strawberry Lime Ice Cream Roll,,
6,5,Dorret,NA,NA,,NA,,
6,5,Marie,NA,NA,,NA,,
6,5,Sandy,NA,NA,,NA,,
6,5,Stu,NA,NA,,NA,,
6,6,Flora,IN,Apricot and Rosemary Frangipane Tart,,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,,
6,6,Ian,IN,Pear and Raspberry Frangipane Tart,,vol-au-vents Terre et Mer,,
6,6,Nadiya,IN,"Bay Leaf, Rong Tea and Pear Tart",,Bengali Korma and Clementine with Cod Vol-au-vents,,
6,6,Paul,IN,Christmas Frangipane Tart,,Savoury and Sweet Bouchées,,
6,6,Tamal,IN,Spiced Pear Frangipane Tart,,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,,
6,6,Alvin,OUT,Plum Frangipane Tart,,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,,
6,6,Mat,STAR BAKER,Piña Colada Frangipane Tart,,His 'n' Hers Vol-au-vents,,
6,6,Dorret,NA,NA,,NA,,
6,6,Marie,NA,NA,,NA,,
6,6,Sandy,NA,NA,,NA,,
6,6,Stu,NA,NA,,NA,,
6,6,Ugnė,NA,NA,,NA,,
6,7,Flora,IN,Game Pie with Shallot and Apple Chutney,,"Raspberry, Pomegranate and Champagne Charlotte Russe",,
6,7,Ian,IN,Roadkill Pie,,Victoria's Crown Charlotte Russe,,
6,7,Nadiya,IN,Aromatic Raised Game Pie,,Mango and Raspberry Charlotte Russe,,
6,7,Paul,IN,Not a Boaring Pie,,Charlotte Rose,,
6,7,Mat,OUT,Raised Venison and Pigeon Pie,,Strawberry Charlotte Russe,,
6,7,Tamal,STAR BAKER,Middle Eastern Game Pie,,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",,
6,7,Alvin,NA,NA,,NA,,
6,7,Dorret,NA,NA,,NA,,
6,7,Marie,NA,NA,,NA,,
6,7,Sandy,NA,NA,,NA,,
6,7,Stu,NA,NA,,NA,,
6,7,Ugnė,NA,NA,,NA,,
6,8,Flora,IN,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,,
6,8,Ian,IN,Mont Blanc & Black Forest Gâteau Horns,,Nun with Hidden Passions,,
6,8,Tamal,IN,Lime & Mascarpone and Malt Cream Horns,,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,,
6,8,Paul,OUT,Café Tipple & Banana Crunch-away Horns,,Religieuse à l'ancienne,,
6,8,Nadiya,STAR BAKER,Rose Pistachio and Mocha Hazelnut Horns,,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,,
6,8,Alvin,NA,NA,,NA,,
6,8,Dorret,NA,NA,,NA,,
6,8,Marie,NA,NA,,NA,,
6,8,Mat,NA,NA,,NA,,
6,8,Sandy,NA,NA,,NA,,
6,8,Stu,NA,NA,,NA,,
6,8,Ugnė,NA,NA,,NA,,
6,9,Ian,IN,Chocolate and Bay Tart,,Chocolate Well,,
6,9,Tamal,IN,Chocolate New York Pie,,Chocolate Bell Tower,,
6,9,Flora,OUT,Passion Fruit and Chocolate Tart,,Cocoa Carousel,,
6,9,Nadiya,STAR BAKER,Peanut Salted Caramel and Chocolate Tart,,Peacock in Nan's Door,,
6,9,Alvin,NA,NA,,NA,,
6,9,Dorret,NA,NA,,NA,,
6,9,Marie,NA,NA,,NA,,
6,9,Mat,NA,NA,,NA,,
6,9,Paul,NA,NA,,NA,,
6,9,Sandy,NA,NA,,NA,,
6,9,Stu,NA,NA,,NA,,
6,9,Ugnė,NA,NA,,NA,,
6,10,Ian,Runner-up,Elderflower and Lemon & Spiced Buns,,Colossal Curvy Carrot Cake,,
6,10,Tamal,Runner-up,Cinnamon and Apple & Toffee and Marmalade Iced Buns,,Sticky Toffee Pudding Cake,,
6,10,Nadiya,WINNER,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,,My Big Fat British Wedding Cake,,
6,10,Alvin,NA,NA,,NA,,
6,10,Dorret,NA,NA,,NA,,
6,10,Flora,NA,NA,,NA,,
6,10,Marie,NA,NA,,NA,,
6,10,Mat,NA,NA,,NA,,
6,10,Paul,NA,NA,,NA,,
6,10,Sandy,NA,NA,,NA,,
6,10,Stu,NA,NA,,NA,,
6,10,Ugnė,NA,NA,,NA,,
7,1,Andrew,IN,Lemon and Rosemary Drizzle Cake,,'Ultimate Indulgence' Mirror Glaze Cake,,
7,1,Benjamina,IN,"Pistachio, Cardamom and Lemon Drizzle Cake",,White Chocolate Mirror Glaze with Salted Praline Buttercream,,
